{0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0., 0.}
{0.48868856087927, 0.962270960899658, 0.422788469987047, 0.048444269197753, 0.002289523120315, 0.000059161840267, 9.64940955*^-7, 1.0844381*^-8, 8.9107*^-11, 5.58*^-13, 2.*^-15, 0., 0., 0., 0., 1.*^-15, 2.*^-15, 1.*^-15, 2.*^-15, 1.*^-15}
{0.48323635800894, 0.951099262776875, 0.415947197175948, 0.0494334413453, 0.002416634959572, 0.000064531407164, 1.087155539*^-6, 1.2616674*^-8, 1.07036*^-10, 6.92*^-13, 3.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 3.*^-15, 2.*^-15, 1.*^-15, 1.*^-15}
{0.47709449123406, 0.938577052657511, 0.408527902109331, 0.050338830018366, 0.002544414512223, 0.00007017939771, 1.22063582*^-6, 1.462113*^-8, 1.28008*^-10, 8.55*^-13, 4.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 4.*^-15, 3.*^-15, 2.*^-15, 1.*^-15}
{0.470283276722779, 0.924746504837249, 0.400558409403859, 0.05115506133578, 0.002672277106374, 0.000076097386053, 1.365850238*^-6, 1.6878679*^-8, 1.52428*^-10, 1.05*^-12, 5.*^-15, 0., 0., 0., 0., 1.*^-15, 4.*^-15, 2.*^-15, 3.*^-15, 1.*^-15}
{0.462825019196534, 0.90965365331289, 0.392068165528741, 0.0518770502497, 0.002799601654419, 0.00008227388229, 1.523208513*^-6, 1.9410665*^-8, 1.80735*^-10, 1.284*^-12, 7.*^-15, 0., 0., 0., 0., 1.*^-15, 3.*^-15, 2.*^-15, 2.*^-15, 1.*^-15}
{0.454743931041396, 0.893348218973837, 0.383088110298809, 0.052500035043376, 0.002925732947802, 0.000088694140362, 1.693048536*^-6, 2.2238585*^-8, 2.13398*^-10, 1.562*^-12, 9.*^-15, 0., 0., 0., 0., 1.*^-15, 3.*^-15, 2.*^-15, 1.*^-15, 1.*^-15}
{0.446066045582171, 0.875883425604058, 0.373650543470574, 0.053019610949785, 0.003049984361226, 0.000095339981242, 1.875622437*^-6, 2.5383795*^-8, 2.50922*^-10, 1.891*^-12, 1.1*^-14, 0., 0., 0., 1.*^-15, 1.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 1.*^-15}
{0.436819124843041, 0.857315805414956, 0.363788987019177, 0.053431762701214, 0.003171640971395, 0.000102189634908, 2.071081937*^-6, 2.8867152*^-8, 2.93836*^-10, 2.281*^-12, 1.3*^-14, 0., 0., 0., 0., 1.*^-15, 1.*^-15, 2.*^-15, 0., 1.*^-15}
{0.427032562135792, 0.837704994862592, 0.353538043689077, 0.05373289582293, 0.00328996309295, 0.000109217604717, 2.279463063*^-6, 3.2708606*^-8, 3.42695*^-10, 2.737*^-12, 1.6*^-14, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 2.*^-15, 0., 2.*^-15, 1.*^-15, 2.*^-15}
{0.416737279832682, 0.81711352153267, 0.342933252423642, 0.053919866488098, 0.003404190231723, 0.000116394558001, 2.500670407*^-6, 3.6926747*^-8, 3.98074*^-10, 3.271*^-12, 2.*^-14, 0., 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15}
{0.405965622695567, 0.795606582903507, 0.332010941288546, 0.0539900097561, 0.003513545452742, 0.000123687246751, 2.734461044*^-6, 4.1538279*^-8, 4.60558*^-10, 3.893*^-12, 2.6*^-14, 0., 0., 0., 0., 1.*^-15, 1.*^-15, 0., 0., 1.*^-15}
{0.394751247146127, 0.773251817820957, 0.320808078511046, 0.053941166022384, 0.003617240157772, 0.000131058462438, 2.980428354*^-6, 4.6557456*^-8, 5.30735*^-10, 4.611*^-12, 3.1*^-14, 0., 0., 0., 0., 1.*^-15, 0., 0., 0., 1.*^-15}
{0.383129006873815, 0.750119071539592, 0.309362122261514, 0.053771705514857, 0.003714479264329, 0.000138467029034, 3.237985931*^-6, 5.1995447*^-8, 6.09188*^-10, 5.44*^-12, 3.9*^-14, 0., 0., 0., 0., 0., 1.*^-15, 1.*^-15, 1.*^-15, 0.}
{0.371134835188418, 0.726280155201595, 0.29771086980549, 0.053480550679572, 0.003804466775304, 0.000145867838379, 3.506351856*^-6, 5.7859662*^-8, 6.96479*^-10, 6.389*^-12, 4.6*^-14, 0., 0., 0., 0., 1.*^-15, 2.*^-15, 2.*^-15, 1.*^-15, 0.}
{0.358805624532928, 0.70180860063854, 0.285892306653552, 0.053067196307205, 0.003886411725476, 0.000153211932081, 3.784533616*^-6, 6.4153019*^-8, 7.93137*^-10, 7.471*^-12, 5.6*^-14, 1.*^-15, 0., 0., 0., 0., 3.*^-15, 2.*^-15, 0., 0.}
{0.346179103579659, 0.676779411391561, 0.273944456332741, 0.052531727261214, 0.003959534488287, 0.000160446634094, 4.071313995*^-6, 7.0873167*^-8, 8.99641*^-10, 8.7*^-12, 6.7*^-14, 1.*^-15, 0., 0., 0., 0., 2.*^-15, 1.*^-15, 1.*^-15, 0.}
{0.333293712338285, 0.651268810852393, 0.261905231397137, 0.051874833678909, 0.004023073423397, 0.000167515738134, 4.365238287*^-6, 7.8011682*^-8, 1.016399*^-9, 1.0087*^-11, 7.9*^-14, 1.*^-15, 0., 0., 0., 0., 1.*^-15, 1.*^-15, 1.*^-15, 0.}
{0.320188475708605, 0.625353988431205, 0.249812286286378, 0.051097823527658, 0.004076291842649, 0.000174359754003, 4.66460323*^-6, 8.5553224*^-8, 1.143726*^-9, 1.1646*^-11, 9.4*^-14, 1.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 1.*^-15, 0., 1.*^-15, 0.}
{0.306902875913451, 0.599112844657364, 0.237702872629604, 0.05020263241015, 0.004118485269274, 0.000180916216785, 4.967448098*^-6, 9.3474684*^-8, 1.281824*^-9, 1.3386*^-11, 1.1*^-13, 1.*^-15, 0., 0., 0., 0., 0., 1.*^-15, 2.*^-15, 0.}
{0.293476724248211, 0.572623736115913, 0.225613697578551, 0.049191830525036, 0.004148988962388, 0.000187120062798, 5.271548395*^-6, 1.01744332*^-7, 1.430751*^-9, 1.5319*^-11, 1.29*^-13, 1.*^-15, 0., 0., 0., 1.*^-15, 0., 0., 0., 0.}
{0.279950032582844, 0.545965221115963, 0.213580785737256, 0.048068626702156, 0.004167185676092, 0.000192904075952, 5.574412683*^-6, 1.10320976*^-7, 1.5904*^-9, 1.7455*^-11, 1.51*^-13, 1.*^-15, 0., 0., 0., 1.*^-15, 1.*^-15, 0., 0., 0.}
{0.266362885050311, 0.519215806977299, 0.201639345237384, 0.046836869445018, 0.004172513619929, 0.000198199408018, 5.873283054*^-6, 1.19153159*^-7, 1.760457*^-9, 1.98*^-11, 1.76*^-13, 2.*^-15, 1.*^-15, 1.*^-15, 1.*^-15, 0., 1.*^-15, 1.*^-15, 0., 1.*^-15}
