{0. + 0.*I, 0.9999833334165987 + 0.*I, 0.9999833334165987 + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I, 0. + 0.*I}
{0.005598967245007414 + 0.*I, 0.11173830858919322 + 0.*I, 0.02339447596400035 + 0.*I, 0.1560438229518013 + 0.*I, 0.12157324180539497 + 0.*I, 0.09203097059020672 + 0.*I, 0.022070843457799864 + 0.*I, 0.002860501164003715 + 0.*I, 0.000236758488192379 + 0.*I, 0.000010542049810879917 + 0.*I, 2.675978105770582*^-7 + 0.*I, 2.263938592150794*^-6 + 0.*I, 7.779313793143672*^-6 + 0.*I, 0.000012635267609972798 + 0.*I, 0.000016735348795648974 + 0.*I, 3.576272389338442*^-6 + 0.*I, 0.000012428674400766228 + 0.*I, 5.64283120230158*^-6 + 0.*I, 1.0861220145486072*^-6 + 0.*I, 1.2263861037808965*^-7 + 0.*I, 9.23641163552702*^-9 + 0.*I, 5.724087870362382*^-10 + 0.*I}
{0.012613775895392589 + 0.*I, 0.12162775390560657 + 0.*I, 0.030412695746595553 + 0.*I, 0.15956217406740691 + 0.*I, 0.11870879025679405 + 0.*I, 0.09335466296238604 + 0.*I, 0.02282419347419129 + 0.*I, 0.0030056689138024954 + 0.*I, 0.0002524490343880359 + 0.*I, 0.00001152884139266064 + 0.*I, 1.7530099594154083*^-7 + 0.*I, 2.2555604051177625*^-6 + 0.*I, 7.667863188842716*^-6 + 0.*I, 0.000012690216610877771 + 0.*I, 0.00001656521759763052 + 0.*I, 4.175992796007223*^-6 + 0.*I, 0.000012622941603090965 + 0.*I, 5.883196796396817*^-6 + 0.*I, 1.152434592199825*^-6 + 0.*I, 1.3212160254738595*^-7 + 0.*I, 1.009019534592426*^-8 + 0.*I, 6.347811165596796*^-10 + 0.*I}
{0.019554760910200922 + 0.*I, 0.13137742870998892 + 0.*I, 0.03727128805139923 + 0.*I, 0.1628829887502015 + 0.*I, 0.11574415339021817 + 0.*I, 0.09465253899059167 + 0.*I, 0.023592845971998067 + 0.*I, 0.0031566892296108766 + 0.*I, 0.00026903506100683927 + 0.*I, 0.000012594116394204491 + 0.*I, 7.28435978203379*^-8 + 0.*I, 2.246961794405422*^-6 + 0.*I, 7.541367397223553*^-6 + 0.*I, 0.000012722674802567726 + 0.*I, 0.000016366815591695175 + 0.*I, 4.792331997904853*^-6 + 0.*I, 0.00001280916099855034 + 0.*I, 6.1302323883793974*^-6 + 0.*I, 1.2220785938765746*^-6 + 0.*I, 1.4224779132376852*^-7 + 0.*I, 1.1015011125437015*^-8 + 0.*I, 7.033928994815142*^-10 + 0.*I}
{0.026417075967799523 + 0.*I, 0.14097717956720324 + 0.*I, 0.04396205576520096 + 0.*I, 0.1660038164620126 + 0.*I, 0.11268132729780335 + 0.*I, 0.09592293631759397 + 0.*I, 0.02437669840600343 + 0.*I, 0.0033137222789969556 + 0.*I, 0.0002865586087974492 + 0.*I, 0.000013743158988610562 + 0.*I, 4.0475001128470474*^-8 + 0.*I, 2.2382666164944*^-6 + 0.*I, 7.399683599196295*^-6 + 0.*I, 0.000012732135012960555 + 0.*I, 0.000016139837000217486 + 0.*I, 5.424828608546761*^-6 + 0.*I, 0.000012986707598194869 + 0.*I, 6.38394199725667*^-6 + 0.*I, 1.2951782091263908*^-6 + 0.*I, 1.5305399170273404*^-7 + 0.*I, 1.2016410089188413*^-8 + 0.*I, 7.785994071696223*^-10 + 0.*I}
{0.03319598220001275 + 0.*I, 0.15041712866661341 + 0.*I, 0.0504771226560008 + 0.*I, 0.16892246057380603 + 0.*I, 0.10952242848440986 + 0.*I, 0.09716418958860551 + 0.*I, 0.025175629234985845 + 0.*I, 0.0034769292158065577 + 0.*I, 0.000305063187600041 + 0.*I, 0.000014981548202008811 + 0.*I, 1.6539380975899576*^-7 + 0.*I, 2.2296064106086533*^-6 + 0.*I, 7.242692801057161*^-6 + 0.*I, 0.000012718129216438003 + 0.*I, 0.000015884024007206676 + 0.*I, 6.072977210003217*^-6 + 0.*I, 0.000013154947198223967 + 0.*I, 6.644320404980421*^-6 + 0.*I, 1.3718587821287544*^-6 + 0.*I, 1.64578595196474*^-7 + 0.*I, 1.3099588080933701*^-8 + 0.*I, 8.61200000201734*^-10 + 0.*I}
{0.03988685229620593 + 0.*I, 0.15968768285838933 + 0.*I, 0.05680894050199559 + 0.*I, 0.17163697997100158 + 0.*I, 0.10626969184639457 + 0.*I, 0.09837463239279476 + 0.*I, 0.025989497519995908 + 0.*I, 0.003646472025797821 + 0.*I, 0.00032459380081562017 + 0.*I, 0.000016315168793745727 + 0.*I, 3.026900063929361*^-7 + 0.*I, 2.2211176009534488*^-6 + 0.*I, 7.0703034094066206*^-6 + 0.*I, 0.000012680228000938598 + 0.*I, 0.000015599169800317725 + 0.*I, 6.73623099523013*^-6 + 0.*I, 0.000013313237579026806 + 0.*I, 6.911350802774053*^-6 + 0.*I, 1.4522492097768238*^-6 + 0.*I, 1.7686281328366252*^-7 + 0.*I, 1.4271006598676195*^-8 + 0.*I, 9.519940391555794*^-10 + 0.*I}
{0.046485174451788014 + 0.*I, 0.16877954227039194 + 0.*I, 0.06295029572578327 + 0.*I, 0.1741456902971894 + 0.*I, 0.102925468484405 + 0.*I, 0.09955259923319913 + 0.*I, 0.02681814253879811 + 0.*I, 0.0038225133657920907 + 0.*I, 0.0003451969712076064 + 0.*I, 0.000017750226000146085 + 0.*I, 4.531830022358463*^-7 + 0.*I, 2.2129438059792506*^-6 + 0.*I, 6.882450609424496*^-6 + 0.*I, 0.000012618043987444595 + 0.*I, 0.00001528511839321567 + 0.*I, 7.414000391392506*^-6 + 0.*I, 0.000013460929015884915 + 0.*I, 7.185005213017349*^-6 + 0.*I, 1.5364798100492296*^-6 + 0.*I, 1.8994839035002545*^-7 + 0.*I, 1.5536594233367396*^-8 + 0.*I, 1.0516032489249485*^-9 + 0.*I}
{0.052986556157197384 + 0.*I, 0.17768370849500228 + 0.*I, 0.0688943155302102 + 0.*I, 0.17644716484399584 + 0.*I, 0.09949222335661201 + 0.*I, 0.10069642752459362 + 0.*I, 0.027661383417187935 + 0.*I, 0.004005216394808998 + 0.*I, 0.0003669207645939921 + 0.*I, 0.000019293256992014562 + 0.*I, 6.177345968083614*^-7 + 0.*I, 2.20523381777582*^-6 + 0.*I, 6.679096786754712*^-6 + 0.*I, 0.000012531232207457778 + 0.*I, 0.000014941766801612745 + 0.*I, 8.105653792611633*^-6 + 0.*I, 0.000013597365211559522 + 0.*I, 7.465244000748329*^-6 + 0.*I, 1.6246819889431663*^-6 + 0.*I, 2.0387918020503548*^-7 + 0.*I, 1.6903189958838997*^-8 + 0.*I, 1.1605827410221536*^-9 + 0.*I}
{0.05938672782839772 + 0.*I, 0.18639149234380703 + 0.*I, 0.07463447353059927 + 0.*I, 0.17854023507979377 + 0.*I, 0.09597253277320306 + 0.*I, 0.10180445960901176 + 0.*I, 0.028519018777206643 + 0.*I, 0.004194744600583001 + 0.*I, 0.00038981481500499626 + 0.*I, 0.000020951147394754344 + 0.*I, 7.972519977528236*^-7 + 0.*I, 2.1981432007933677*^-6 + 0.*I, 6.46023239347926*^-6 + 0.*I, 0.000012419492212423222 + 0.*I, 0.000014569065198699606 + 0.*I, 8.810516383128686*^-6 + 0.*I, 0.000013721884206674419 + 0.*I, 7.752014807849152*^-6 + 0.*I, 1.7169907939873499*^-6 + 0.*I, 2.187013903309776*^-7 + 0.*I, 1.837801022475105*^-8 + 0.*I, 1.2801981696952682*^-9 + 0.*I}
{0.06568154627180078 + 0.*I, 0.19489452116321362 + 0.*I, 0.08016459487720784 + 0.*I, 0.1804239908272054 + 0.*I, 0.09236908173300142 + 0.*I, 0.10287504479800091 + 0.*I, 0.029390826405006898 + 0.*I, 0.00439126161599912 + 0.*I, 0.00041393034480030627 + 0.*I, 0.000022731142612641978 + 0.*I, 9.926891975098329*^-7 + 0.*I, 2.1918336035042785*^-6 + 0.*I, 6.225876592047543*^-6 + 0.*I, 0.000012282569006316635 + 0.*I, 0.0000141670194020449 + 0.*I, 9.527871802639254*^-6 + 0.*I, 0.000013833819800801452 + 0.*I, 8.045253396815612*^-6 + 0.*I, 1.813541183892653*^-6 + 0.*I, 2.3446260488668716*^-7 + 0.*I, 1.996840470752659*^-8 + 0.*I, 1.4109824419961117*^-9 + 0.*I}
{0.07186699798040208 + 0.*I, 0.203184745700602 + 0.*I, 0.08547886087080238 + 0.*I, 0.18209778008240196 + 0.*I, 0.08868466111200402 + 0.*I, 0.1039065414266016 + 0.*I, 0.030276562934594686 + 0.*I, 0.004594931032997351 + 0.*I, 0.000439320189404846 + 0.*I, 0.000024640865015079786 + 0.*I, 1.2050495934445848*^-6 + 0.*I, 2.1864726029718895*^-6 + 0.*I, 5.976075989622132*^-6 + 0.*I, 0.000012120255199477016 + 0.*I, 0.000013735690407301607 + 0.*I, 0.000010256961391341692 + 0.*I, 0.000013932502795910295 + 0.*I, 8.34488278478318*^-6 + 0.*I, 1.9144712037899585*^-6 + 0.*I, 2.5121318358856115*^-7 + 0.*I, 2.1683010942297187*^-8 + 0.*I, 1.5544010523171892*^-9 + 0.*I}
{0.07793920226319974 + 0.*I, 0.21125444652418948 + 0.*I, 0.09057181305940355 + 0.*I, 0.18356120848679325 + 0.*I, 0.0849221646985976 + 0.*I, 0.10489731892480147 + 0.*I, 0.031175963554197498 + 0.*I, 0.004805916203198812 + 0.*I, 0.0004660388131849658 + 0.*I, 0.00002668832539409749 + 0.*I, 1.4353865873673044*^-6 + 0.*I, 2.182232794467609*^-6 + 0.*I, 5.710908790312886*^-6 + 0.*I, 0.000011932389809565791 + 0.*I, 0.000013275197385809179 + 0.*I, 0.000010996986610223303 + 0.*I, 0.000014017260197007886 + 0.*I, 8.650810201515924*^-6 + 0.*I, 2.019918809992305*^-6 + 0.*I, 2.690041966957324*^-7 + 0.*I, 2.3529400650090793*^-8 + 0.*I, 1.7104095917375162*^-9 + 0.*I}
{0.08389441420120215 + 0.*I, 0.21909623998219718 + 0.*I, 0.09543835682979118 + 0.*I, 0.184814138443401 + 0.*I, 0.08108458609319413 + 0.*I, 0.10584575990220114 + 0.*I, 0.03208874173379339 + 0.*I, 0.0050243800403970695 + 0.*I, 0.0004941423330073746 + 0.*I, 0.000028881941993574856 + 0.*I, 1.6848090034216059*^-6 + 0.*I, 2.1792940119169657*^-6 + 0.*I, 5.4304801988536155*^-6 + 0.*I, 0.000011718862413800936 + 0.*I, 0.000012785715619578754 + 0.*I, 0.000011747106198889414 + 0.*I, 0.000014087419386576984 + 0.*I, 8.96293199659226*^-6 + 0.*I, 2.1300244013033875*^-6 + 0.*I, 2.8789020056763093*^-7 + 0.*I, 2.5516988522156225*^-8 + 0.*I, 1.8810064617014177*^-9 + 0.*I}
{0.08972902742759305 + 0.*I, 0.22670308370680295 + 0.*I, 0.10007376447500606 + 0.*I, 0.18585668789081744 + 0.*I, 0.0771750154612061 + 0.*I, 0.10675026223978537 + 0.*I, 0.033014588973001587 + 0.*I, 0.005250484808594358 + 0.*I, 0.0005236885332049469 + 0.*I, 0.00003123055321019308 + 0.*I, 1.9544803997462172*^-6 + 0.*I, 2.177840396910824*^-6 + 0.*I, 5.134925395999802*^-6 + 0.*I, 0.000011479612593845445 + 0.*I, 0.000012267479410077444 + 0.*I, 0.000012506439195369978 + 0.*I, 0.000014142307214193297 + 0.*I, 9.28112859899244*^-6 + 0.*I, 2.2449293979320832*^-6 + 0.*I, 3.079278165785127*^-7 + 0.*I, 2.7655588930031175*^-8 + 0.*I, 2.0675905432199215*^-9 + 0.*I}
{0.09543957673379677 + 0.*I, 0.23406828165519755 + 0.*I, 0.1044736777505939 + 0.*I, 0.18668922873499305 + 0.*I, 0.07319663615219518 + 0.*I, 0.10760924118859984 + 0.*I, 0.03395317456920122 + 0.*I, 0.005484391908017195 + 0.*I, 0.0005547368824077027 + 0.*I, 0.00003374343440221139 + 0.*I, 2.2456231985046315*^-6 + 0.*I, 2.1780623971068285*^-6 + 0.*I, 4.824410404502544*^-6 + 0.*I, 0.000011214630801781313 + 0.*I, 0.000011720782011614972 + 0.*I, 0.000013274066401613995 + 0.*I, 0.000014181251994926926 + 0.*I, 9.605265804957241*^-6 + 0.*I, 2.3647757974032406*^-6 + 0.*I, 3.291745986899741*^-7 + 0.*I, 2.9954816405108886*^-8 + 0.*I, 2.2712054459361757*^-9 + 0.*I}
{0.10102274049799687 + 0.*I, 0.2411854886843923 + 0.*I, 0.10863410991761581 + 0.*I, 0.18731238493920888 + 0.*I, 0.06915272119141226 + 0.*I, 0.10842113147238042 + 0.*I, 0.034904145414205175 + 0.*I, 0.0057262616523834345 + 0.*I, 0.0005873485493967934 + 0.*I, 0.00003643031418754106 + 0.*I, 2.5595202179928833*^-6 + 0.*I, 2.180156410958034*^-6 + 0.*I, 4.499130601409718*^-6 + 0.*I, 0.00001092395920387901 + 0.*I, 0.000011145976208659649 + 0.*I, 0.000014049028607132643 + 0.*I, 0.000014203583198479919 + 0.*I, 9.935194600352304*^-6 + 0.*I, 2.489706196762143*^-6 + 0.*I, 3.516910096479365*^-7 + 0.*I, 3.242539570180725*^-8 + 0.*I, 2.492805961651357*^-9 + 0.*I}
{0.1064753429316112 + 0.*I, 0.24804871465939904 + 0.*I, 0.1125514472690048 + 0.*I, 0.187727030281204 + 0.*I, 0.06504662964401664 + 0.*I, 0.10918438939160337 + 0.*I, 0.03586712581038487 + 0.*I, 0.005976253042194735 + 0.*I, 0.0006215864154057727 + 0.*I, 0.00003930139058638816 + 0.*I, 2.897519002509341*^-6 + 0.*I, 2.184323610876504*^-6 + 0.*I, 4.159309985318771*^-6 + 0.*I, 0.000010607693190500813 + 0.*I, 0.0000105434737829313 + 0.*I, 0.00001483032840976506 + 0.*I, 0.00001420863540158024 + 0.*I, 0.000010270750006036168 + 0.*I, 2.6198642144592554*^-6 + 0.*I, 3.7554039877818473*^-7 + 0.*I, 3.5078606686056446*^-8 + 0.*I, 2.734612536414716*^-9 + 0.*I}
{0.11179435614720458 + 0.*I, 0.2546523280935853 + 0.*I, 0.11622245014759613 + 0.*I, 0.1879342857824096 + 0.*I, 0.06088180285721557 + 0.*I, 0.10989749492420488 + 0.*I, 0.036841717313595986 + 0.*I, 0.0062345235284144715 + 0.*I, 0.0006575150863996627 + 0.*I, 0.00004236734878482196 + 0.*I, 3.2610318001502496*^-6 + 0.*I, 2.1907706093671204*^-6 + 0.*I, 3.8052041961833542*^-6 + 0.*I, 0.000010265980199264392 + 0.*I, 9.913747200940294*^-6 + 0.*I, 0.00001561693339091619 + 0.*I, 0.00001419574739980334 + 0.*I, 0.000010611752010447619 + 0.*I, 2.755393402331663*^-6 + 0.*I, 4.007878029455015*^-7 + 0.*I, 3.792639535760146*^-8 + 0.*I, 2.997802006632355*^-9 + 0.*I}
{0.11697690204621193 + 0.*I, 0.2609910593220022 + 0.*I, 0.11964425345440956 + 0.*I, 0.18793551681139942 + 0.*I, 0.05666176059020423 + 0.*I, 0.11055895382039439 + 0.*I, 0.03782749860019585 + 0.*I, 0.006501228774191682 + 0.*I, 0.000695200902800508 + 0.*I, 0.00004563937621160363 + 0.*I, 3.651541602422981*^-6 + 0.*I, 2.1997108134996783*^-6 + 0.*I, 3.437096407488127*^-6 + 0.*I, 9.899023201143109*^-6 + 0.*I, 9.257328392742181*^-6 + 0.*I, 0.00001640777340661259 + 0.*I, 0.00001416426420597361 + 0.*I, 0.000010958003593408703 + 0.*I, 2.89643780071458*^-6 + 0.*I, 4.2750039064287654*^-7 + 0.*I, 4.0980996374173635*^-8 + 0.*I, 3.2839952979202285*^-9 + 0.*I}
{0.12202025401959472 + 0.*I, 0.26706000320180223 + 0.*I, 0.12281436665140257 + 0.*I, 0.1877323298703937 + 0.*I, 0.05239009703181807 + 0.*I, 0.11116729969178343 + 0.*I, 0.03882402536159458 + 0.*I, 0.00677652240659299 + 0.*I, 0.0007347119477918441 + 0.*I, 0.00004912918318833449 + 0.*I, 4.0706030102199975*^-6 + 0.*I, 2.2113608055818194*^-6 + 0.*I, 3.0553007901446*^-6 + 0.*I, 9.507077614046013*^-6 + 0.*I, 8.574809196026933*^-6 + 0.*I, 0.000017201745006190095 + 0.*I, 0.000014113539004156907 + 0.*I, 0.000011309292591299425 + 0.*I, 3.0431420050547335*^-6 + 0.*I, 4.557485944189921*^-7 + 0.*I, 4.425559918530553*^-8 + 0.*I, 3.5955904920115245*^-9 + 0.*I}
{0.12692183847120564 + 0.*I, 0.2728546213489836 + 0.*I, 0.12573067326320245 + 0.*I, 0.187326569071411 + 0.*I, 0.048070476714601185 + 0.*I, 0.11172109608639236 + 0.*I, 0.03983083022420786 + 0.*I, 0.007060555765603383 + 0.*I, 0.0007761180530030388 + 0.*I, 0.00005284901720692404 + 0.*I, 4.519845209216555*^-6 + 0.*I, 2.22594400689502*^-6 + 0.*I, 2.6601604030673798*^-6 + 0.*I, 9.090453989557545*^-6 + 0.*I, 7.866842799408859*^-6 + 0.*I, 0.0000179977104108886 + 0.*I, 0.000014042933194069464 + 0.*I, 0.000011665388011117274 + 0.*I, 3.195648612397406*^-6 + 0.*I, 4.856043789303044*^-7 + 0.*I, 4.776401496542349*^-8 + 0.*I, 3.9340086743777655*^-9 + 0.*I}
{0.1316792361541863 + 0.*I, 0.2783707439024008 + 0.*I, 0.12839142988640972 + 0.*I, 0.18672031230539954 + 0.*I, 0.043706630329798386 + 0.*I, 0.11221893855319909 + 0.*I, 0.04084742269900855 + 0.*I, 0.007353477645599683 + 0.*I, 0.0008194908043934747 + 0.*I, 0.000056811683801782926 + 0.*I, 5.000977787439354*^-6 + 0.*I, 2.2436894120403394*^-6 + 0.*I, 2.2520455944530227*^-6 + 0.*I, 8.649518390413391*^-6 + 0.*I, 7.134139590192491*^-6 + 0.*I, 0.000018794500200591816 + 0.*I, 0.000013951819810564816 + 0.*I, 0.000012026043982871215 + 0.*I, 3.354101996144721*^-6 + 0.*I, 5.171433947737114*^-7 + 0.*I, 5.1521209520899454*^-8 + 0.*I, 4.302003198120019*^-9 + 0.*I}
{0.1362901833262098 + 0.*I, 0.2836045708290103 + 0.*I, 0.13079526469979008 + 0.*I, 0.18591586711618205 + 0.*I, 0.03930235045039865 + 0.*I, 0.11265945668479384 + 0.*I, 0.04187328915479238 + 0.*I, 0.007655434032582953 + 0.*I, 0.0008649035415864148 + 0.*I, 0.000061030562603647816 + 0.*I, 5.5157900025193385*^-6 + 0.*I, 2.264829612741437*^-6 + 0.*I, 1.8313569993821943*^-6 + 0.*I, 8.184689992418726*^-6 + 0.*I, 6.3774711955844055*^-6 + 0.*I, 0.000019590914801526086 + 0.*I, 0.000013839581991526018 + 0.*I, 0.000012390995385302974 + 0.*I, 3.518643199029725*^-6 + 0.*I, 5.504422029289914*^-7 + 0.*I, 5.554239290717078*^-8 + 0.*I, 4.70119498885424*^-9 + 0.*I}
{0.14075257271879418 + 0.*I, 0.2885526727594012 + 0.*I, 0.13294117549940146 + 0.*I, 0.18491576628338893 + 0.*I, 0.03486148716740356 + 0.*I, 0.11304131614560121 + 0.*I, 0.04290789282541674 + 0.*I, 0.007966567835415717 + 0.*I, 0.0009124313606001522 + 0.*I, 0.00006551962781209397 + 0.*I, 6.0661573986209305*^-6 + 0.*I, 2.2896042173314868*^-6 + 0.*I, 1.398522209150599*^-6 + 0.*I, 7.696443815596865*^-6 + 0.*I, 5.597667396273209*^-6 + 0.*I, 0.000020385725396643295 + 0.*I, 0.00001370561719671315 + 0.*I, 0.000012759960998920405 + 0.*I, 3.689414618257558*^-6 + 0.*I, 5.855811835431269*^-7 + 0.*I, 5.984321926888471*^-8 + 0.*I, 5.1344040130629764*^-9 + 0.*I}
{0.14506445432839188 + 0.*I, 0.2932119913668041 + 0.*I, 0.13482852724759908 + 0.*I, 0.18372276312259572 + 0.*I, 0.030387943642185 + 0.*I, 0.1133632206721913 + 0.*I, 0.04395067384259655 + 0.*I, 0.008287018612596064 + 0.*I, 0.0009621511096069569 + 0.*I, 0.00007029346540399217 + 0.*I, 6.654044804044191*^-6 + 0.*I, 2.318257585898209*^-6 + 0.*I, 9.53996615038477*^-7 + 0.*I, 7.185309214285951*^-6 + 0.*I, 4.79561539368234*^-6 + 0.*I, 0.000021177675191275114 + 0.*I, 0.000013549336985718698 + 0.*I, 0.000013132640797053343 + 0.*I, 3.866555609022271*^-6 + 0.*I, 6.226430038225317*^-7 + 0.*I, 6.444140776551421*^-8 + 0.*I, 5.604006148018925*^-9 + 0.*I}
{0.1492240360208008 + 0.*I, 0.297579839287998 + 0.*I, 0.13645704915759008 + 0.*I, 0.18233982651321148 + 0.*I, 0.025885671590186735 + 0.*I, 0.11362391405118633 + 0.*I, 0.04500104929878735 + 0.*I, 0.008616922294613083 + 0.*I, 0.0010141413860020876 + 0.*I, 0.00007536729360602124 + 0.*I, 7.281508795919933*^-6 + 0.*I, 2.3510397850756704*^-6 + 0.*I, 4.982612100690176*^-7 + 0.*I, 6.651868988960531*^-6 + 0.*I, 3.972260609330648*^-6 + 0.*I, 0.00002196548161137457 + 0.*I, 0.000013370169993365266 + 0.*I, 0.0000135087173891435 + 0.*I, 4.050205193451006*^-6 + 0.*I, 6.617129955088785*^-7 + 0.*I, 6.935441110300644*^-8 + 0.*I, 6.113198836033007*^-9 + 0.*I}
{0.15322968395679593 + 0.*I, 0.3016538995924023 + 0.*I, 0.1378268313092068 + 0.*I, 0.18077013566160094 + 0.*I, 0.021358666690396436 + 0.*I, 0.11382218206621443 + 0.*I, 0.04605841334059946 + 0.*I, 0.00895641089961874 + 0.*I, 0.0010684825269891007 + 0.*I, 0.00008075698099130335 + 0.*I, 7.950702585191038*^-6 + 0.*I, 2.388205988523851*^-6 + 0.*I, 3.182480945440603*^-8 + 0.*I, 6.09676100715717*^-6 + 0.*I, 3.128604397772961*^-6 + 0.*I, 0.000022747839212300398 + 0.*I, 0.000013167560997118246 + 0.*I, 0.000013887854599659024 + 0.*I, 4.240499396068743*^-6 + 0.*I, 7.028785997675869*^-7 + 0.*I, 7.460099205047756*^-8 + 0.*I, 6.6648020435877706*^-9 + 0.*I}
{0.15707992283660047 + 0.*I, 0.30543222480119425 + 0.*I, 0.1389383208152184 + 0.*I, 0.17901707460599162 + 0.*I, 0.01681096393699733 + 0.*I, 0.11395685441419891 + 0.*I, 0.04712213729458626 + 0.*I, 0.009305612248011741 + 0.*I, 0.0011252566023856048 + 0.*I, 0.000086479066196965 + 0.*I, 8.663880413095628*^-6 + 0.*I, 2.430017587151667*^-6 + 0.*I, 4.4477999061598444*^-7 + 0.*I, 5.520676005232872*^-6 + 0.*I, 2.265703180626133*^-6 + 0.*I, 0.00002352341939015901 + 0.*I, 0.000012940974603026236 + 0.*I, 0.000014269698400681818 + 0.*I, 4.437573197790812*^-6 + 0.*I, 7.462308104777551*^-7 + 0.*I, 8.02008015554634*^-8 + 0.*I, 7.261591328244777*^-9 + 0.*I}
{0.160773435966205 + 0.*I, 0.3089132354656021 + 0.*I, 0.1397923175388005 + 0.*I, 0.17708422647662037 + 0.*I, 0.012246632933998747 + 0.*I, 0.11402680658640921 + 0.*I, 0.04819156981901163 + 0.*I, 0.009664649670604321 + 0.*I, 0.0011845474009897217 + 0.*I, 0.00009255077759728894 + 0.*I, 9.423399394137277*^-6 + 0.*I, 2.476741189916254*^-6 + 0.*I, 9.309958137748708*^-7 + 0.*I, 4.924356988844636*^-6 + 0.*I, 1.3846682023199721*^-6 + 0.*I, 0.000024290873601451327 + 0.*I, 0.000012689895800832575 + 0.*I, 0.000014653876201364824 + 0.*I, 4.641558004614411*^-6 + 0.*I, 7.918629973957537*^-7 + 0.*I, 8.617460078852446*^-8 + 0.*I, 7.907607901813662*^-9 + 0.*I}
{0.16430906514439683 + 0.*I, 0.31209571830521643 + 0.*I, 0.14038996937701942 + 0.*I, 0.17497536752000278 + 0.*I, 0.007669773141416592 + 0.*I, 0.11403096171298532 + 0.*I, 0.0492660370929876 + 0.*I, 0.010033641714390919 + 0.*I, 0.0012464404152146003 + 0.*I, 0.00009899005379843118 + 0.*I, 0.000010231727398668511 + 0.*I, 2.528650200339655*^-6 + 0.*I, 1.4262410141796524*^-6 + 0.*I, 4.308599810265434*^-6 + 0.*I, 4.866637981493227*^-7 + 0.*I, 0.000025048835383678636 + 0.*I, 0.000012413831407265265 + 0.*I, 0.000015039996381638334 + 0.*I, 4.8525836016111165*^-6 + 0.*I, 8.398708173373849*^-7 + 0.*I, 9.254399468971998*^-8 + 0.*I, 8.605982593223871*^-9 + 0.*I}
{0.16768581037500122 + 0.*I, 0.3149788239179996 + 0.*I, 0.14073276711841223 + 0.*I, 0.17269446089200893 + 0.*I, 0.0030845090799980213 + 0.*I, 0.11396829236620665 + 0.*I, 0.05034484303338971 + 0.*I, 0.010412701843809382 + 0.*I, 0.0013110228244128663 + 0.*I, 0.00010581556240119028 + 0.*I, 0.00001109144380784244 + 0.*I, 2.58602321778767*^-6 + 0.*I, 1.9299116083004723*^-6 + 0.*I, 3.6742505926667945*^-6 + 0.*I, 4.2709440428723155*^-7 + 0.*I, 0.000025795921798632552 + 0.*I, 0.000012112311620349203 + 0.*I, 0.000015427649202592875 + 0.*I, 5.070775399573791*^-6 + 0.*I, 8.903532133786031*^-7 + 0.*I, 9.933140976414734*^-8 + 0.*I, 9.360801023206022*^-9 + 0.*I}
{0.1709028294054005 + 0.*I, 0.31756206406299287 + 0.*I, 0.1408225388850104 + 0.*I, 0.1702456502385985 + 0.*I, 0.0015050145010020448 + 0.*I, 0.11383782232119444 + 0.*I, 0.05142726954319166 + 0.*I, 0.010801938140003743 + 0.*I, 0.0013783834736047496 + 0.*I, 0.00011304672040690634 + 0.*I, 0.000012005246796675806 + 0.*I, 2.64914661318727*^-6 + 0.*I, 2.441382607187848*^-6 + 0.*I, 3.0222069957730473*^-6 + 0.*I, 1.3553410171951443*^-6 + 0.*I, 0.000026530736607632836 + 0.*I, 0.000011784891396082742 + 0.*I, 0.000015816406406798936 + 0.*I, 5.2962561891689575*^-6 + 0.*I, 9.434118153350823*^-7 + 0.*I, 1.06560804624678*^-7 + 0.*I, 1.0175993381267291*^-8 + 0.*I}
{0.17395943709158648 + 0.*I, 0.3198453085279996 + 0.*I, 0.14066144417019813 + 0.*I, 0.16763325306761168 + 0.*I, 0.0060946374820014535 + 0.*I, 0.11363862827100668 + 0.*I, 0.052512576796615036 + 0.*I, 0.011201452996401073 + 0.*I, 0.0014486128502078088 + 0.*I, 0.0001207037150008361 + 0.*I, 0.0000129759561984244 + 0.*I, 2.7183124196028534*^-6 + 0.*I, 2.96000799426821*^-6 + 0.*I, 2.3534141968539757*^-6 + 0.*I, 2.296762202647074*^-6 + 0.*I, 0.000027251870804434478 + 0.*I, 0.00001143115280211049 + 0.*I, 0.000016205820596582043 + 0.*I, 5.5291450085093174*^-6 + 0.*I, 9.991510063755982*^-7 + 0.*I, 1.1425700385814254*^-7 + 0.*I, 1.1056400239795039*^-8 + 0.*I}
