t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14,C_1_15
0.67,0.016234181640363672,0.0,0.9902220472801212,0.07519427991240756,0.011681539854247917,0.0012579929019162495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.68,0.021175505737698955,0.0,0.9908957357856828,0.08480026080237651,0.011658594889001565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6900000000000001,0.033545874822419504,0.0,0.9916045532504746,0.09123805821454295,0.008715250761364724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.03955459090719,0.0,0.9911349552626033,0.09881535528638088,0.01193097769548553,0.0004456515006596817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.71,0.04733153377039551,0.0,0.9908938091605027,0.10892934367795956,0.011595304133546341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.05442311845473384,0.0,0.989838809672221,0.11146219157839171,0.00836851293336005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.05713218586911245,0.0,0.9888732664342549,0.1231180995333302,0.011562155087996894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.06506210083323233,0.0,0.9879249677833064,0.12578994010245279,0.011005492712113757,0.00039389377258269463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.06277300791966266,0.0,0.9865291297432006,0.13231532344934324,0.008034209228174258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.0699862123727388,0.0,0.9861348834755439,0.13989245233195474,0.010600624586417208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.06418064616146502,0.0,0.9845522369750147,0.1433123474787984,0.0100158069161586,0.0005063360589961288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.06677628635891475,0.0,0.9846030670915328,0.15024818653204008,0.007788086188646733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.06124895369607532,0.0,0.9830528421202532,0.1543115929336353,0.009264699592123967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.05857321377166466,0.0,0.9829232103830163,0.16055825655731226,0.008794015043808208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0.0538391506018541,0.0,0.9815594830781973,0.16258043871246855,0.007674553333859585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.04590802801931269,0.0,0.9805914294590323,0.1709254687067484,0.007835415033320123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8300000000000001,0.04191849839201399,0.0,0.9792975241983115,0.17046231549747703,0.007520225394407189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.02929091078063626,0.0,0.9770623562813395,0.17542408473333357,0.007746679467940106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.025501217227230505,0.0,0.9755992671606193,0.17894117431670872,0.006631451676831946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.86,0.009619346672756001,0.0,0.9720794476970364,0.17838221077583533,0.006450704994341636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.87,0.003301570127453284,0.0,0.9701888500848597,0.18360054206359216,0.00816729041365187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.88,0.0011387810381120434,0.0,0.9660027076353966,0.18150185381813036,0.005976449474697316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.89,0.014313947393984474,0.0,0.9634967364955511,0.18289501013867618,0.005900524381480812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.025016166017992107,0.0,0.9598695405210221,0.1819746976519245,0.009140430583198739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.91,0.035010883163771996,0.0,0.9571701916628971,0.18154104392480777,0.006025096064577943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.92,0.047498105458894185,0.0,0.9551287203870088,0.17845178105736406,0.006081101326547039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.93,0.05320894832026601,0.0,0.9529393077493755,0.1771051488072511,0.010561381785411838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9400000000000001,0.06579061683978797,0.0,0.9531387662003122,0.17401386275144357,0.006686407481811416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.06684156436293165,0.0,0.9521102422271275,0.16818786626782176,0.006834735074819084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.96,0.07564920955742471,0.0,0.9543308074055367,0.16867718826890615,0.011513795697588574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.97,0.07441865473802886,0.0,0.9551947991224472,0.15848298695632002,0.007611962886959924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.98,0.07748959584760409,0.0,0.9586381326368131,0.15510051807769207,0.007756812898314592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99,0.07526140619278576,0.0,0.9617280564091691,0.1485895086551796,0.011438537100338993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.07226776161274465,0.0,0.9657444859683707,0.1403989549160604,0.008404399518872443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
