t,C_1_0,C_1_1,C_1_2,C_1_3,C_1_4,C_1_5,C_1_6,C_1_7,C_1_8,C_1_9,C_1_10,C_1_11,C_1_12,C_1_13,C_1_14
0.71,0.023346301811253755,0.0,0.9924720293252086,0.06068069542373618,0.0010928008857352257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.72,0.016590843682347922,0.0,0.9925601857646235,0.05764359588333956,0.001793356495621081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73,0.007500402764339657,0.0,0.9934252182342374,0.05282263896345248,0.0015436815804618085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.74,0.0021887538987446636,0.0,0.9946404825791672,0.046053396368546023,0.0016577011474640394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0116513209992248,0.0,0.9956767260794117,0.03856272222401931,0.0014625874809793455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.76,0.019243825388070228,0.0,0.9962502320825466,0.030126409233230032,0.0016790356131456317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.02414753824135476,0.0,0.9964147851757221,0.020642626986623273,0.001191486623966724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.78,0.02574526473892293,0.0,0.996422090977706,0.011135806414009693,0.001042349538201133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.79,0.023385360458427734,0.0,0.9964271423749722,0.0015975146960081048,0.0015235574576866453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.017488554080176057,0.0,0.9963198675469149,0.006888588605499094,0.0008997955384380133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81,0.009124514808951602,0.0,0.9958149818983465,0.016747047402833563,0.001372722933750369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8200000000000001,0.0,0.0,0.9947452579663404,0.026625779913428634,0.001517190401204751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8300000000000001,0.010016052596625332,0.0,0.9932959406561589,0.0350594209308688,0.00179653677733496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.018670431562069486,0.0,0.991951906907625,0.04277433628896349,0.0018147565260960138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.85,0.024486443039779295,0.0,0.9912329611506192,0.049691799922623146,0.002202697621268886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
