t,Cxx_1_0,Cxx_1_1,Cxx_1_2,Cxx_1_3,Cxx_1_4,Cxx_1_5,Cxx_1_6,Cxx_1_7,Cxx_1_8,Cxx_1_9,Cxx_1_10,Cxx_1_11,Cxx_1_12,Cxx_1_13,Cxx_1_14
0.61,-0.04898262360726105,0.9877222519746933,-0.15155908484584377,-0.009656982123037441,0.022566369581199452,0.024958051330082574,0.02451818809861832,0.02391970799392669,0.02283612096811075,0.013644295448543557,0.00618714205341471,0.012803325514520729,0.02104887826703152,0.022028924323928674,0.01955421687798245
0.62,-0.04848537297710198,0.9867493910757313,-0.13952502376761045,-0.007984050188993732,0.0236124421278383,0.026029328596227794,0.02557133977965175,0.024945072534984535,0.02378671210946044,0.014314275659779819,0.00675780542552824,0.01343564718813979,0.02192219150956167,0.02297212112648341,0.020843971754361014
0.63,-0.04779712401733984,0.9857434458729134,-0.1280442531162801,-0.006235094120987876,0.024642465914821613,0.027079575552570727,0.026605253302330482,0.025952230033250544,0.02471652910996597,0.014982957048996565,0.007361544457377892,0.014067506701085777,0.022777083440397753,0.023896869341891697,0.02217615872781495
0.64,-0.046914639489622115,0.9847070987805921,-0.11712958128857026,-0.0044205124759871,0.025651524689014396,0.028104159355883073,0.02761542627588895,0.026936830012287444,0.02562127409370203,0.015647865179592404,0.007998499175469255,0.01469662037223962,0.023609718916671654,0.024798678700049346,0.023549357438770714
0.65,-0.04583548592423679,0.9836433260710035,-0.10679272936047626,-0.00255139495546218,0.0266346951220738,0.0290985520659072,0.02859743210225882,0.027894590340015034,0.02649672983827691,0.016306475413897667,0.008668681416509552,0.015320652593505738,0.02441634280617671,0.025673075358511904,0.024961981323080085
0.66,-0.04455806000671006,0.982555387847426,-0.09704428740382683,-0.0006394584903322981,0.02758703812481615,0.030058322661120015,0.029546913472249865,0.028821284241957793,0.027338740044755987,0.016956217469792888,0.00937194961040897,0.01593721984258978,0.025193257963833728,0.026515595789163262,0.026412234010096396
0.67,-0.04308161781316896,0.9814468094826085,-0.0878937731574301,0.0013030215245230653,0.028503631943201546,0.03097917997579503,0.03045962165918488,0.029712780142447947,0.02814325237816805,0.017594488456105083,0.01010798911964196,0.0165439017241304,0.025936865349583733,0.027321824768554652,0.027898120182888217
0.68,-0.04140623229782221,0.9803213668427313,-0.07934965995653431,0.003263332445444564,0.029379634439460935,0.031857019440532076,0.03133145800832931,0.030565083358584894,0.028906370214778584,0.01821869782670571,0.010876316205022385,0.01713828768165429,0.02664371513986629,0.028087441942843162,0.02941747045219892
0.6900000000000001,-0.03953282620180417,0.9791830569535618,-0.07141930615181026,0.005228398527114569,0.03021028628395956,0.03268794206353068,0.032158493826356035,0.03137435355612143,0.029624362694423593,0.018826258404636545,0.011676276096111495,0.017717964535565435,0.027310511891386748,0.02880823963176571,0.030967932253345543
0.7000000000000001,-0.037463174254409155,0.9780360712285034,-0.06410896259994986,0.007184873710728245,0.030990937667328817,0.03346828408924263,0.032936998580045104,0.03213693246891147,0.030293692880519,0.019414598369801896,0.01250704079831495,0.01828052688785141,0.027934139540619067,0.029480152688249654,0.03254697695594643
0.71,-0.03519986675092089,0.9768847832371284,-0.05742386982349956,0.009119240907218093,0.03171706667707451,0.03419461870877197,0.03366344059803818,0.03284934277760976,0.030911020179375557,0.01998117937628137,0.013367612847589637,0.01882359656396177,0.0285116629109601,0.030099265972983034,0.03415188103081042
0.72,-0.03274632515404302,0.9757337114507566,-0.0513682146242781,0.011017902298314407,0.032384317219648136,0.034863801705106084,0.03433453190104716,0.033508333551361943,0.03147324659287663,0.020523517409512332,0.014256803786531177,0.01934484120890881,0.029040370405156526,0.03066186228553047,0.03577975177439923
0.73,-0.030106775293497666,0.9745874903404258,-0.045945176434068424,0.012867281744963691,0.03298854196784343,0.03547300904134999,0.03494726367983554,0.03411091738641921,0.03197755807879214,0.021039212353389798,0.01517322656584039,0.019842003524668556,0.029517813472558635,0.031164463680568445,0.0374275559317622
0.74,-0.027286217563178696,0.9734508324077178,-0.04115683479949904,0.0146539385193608,0.033525796454818055,0.03601973148963679,0.035498904563627545,0.03465436612365379,0.03242141059987361,0.021525927247084513,0.016115355517944987,0.020312877512614763,0.029941787243146487,0.03160383071521872,0.03909210693902522
0.75,-0.024290415055458044,0.9723284920029212,-0.03700417829379631,0.01636466048922032,0.03399236622744296,0.0365017996897755,0.03598702649942273,0.03513623747416943,0.03280255703350815,0.02198140466934948,0.017081519557837162,0.020755323334192985,0.03031035454648045,0.03197699429205898,0.04077008301659736
0.76,-0.021125844254612666,0.9712252728313431,-0.03348734955534754,0.01798653192506977,0.034384795824874116,0.03691736881784754,0.03640948946784098,0.03555435858205713,0.0331190458197828,0.022403523403791467,0.01806983291459825,0.021167330680732253,0.03062184849601883,0.03228126196688211,0.042457988398208316
0.77,-0.017799681606652518,0.9701459595542481,-0.030605431487686935,0.019507055067676526,0.034699912063961114,0.037264964082806384,0.036764489843707907,0.035906876640541936,0.03336925901044132,0.022790281196524983,0.019078262909089257,0.021546994492719167,0.030874902319945073,0.03251426214085176,0.04415221407880708
